date,close,high,low,open,volume,sma5,sma10,sma15,sma20,ema5,ema10,ema15,ema20,upperband,middleband,lowerband,HT_TRENDLINE,KAMA10,KAMA20,KAMA30,SAR,TRIMA5,TRIMA10,TRIMA20,ADX5,ADX10,ADX20,APO,CCI5,CCI10,CCI15,macd510,macd520,macd1020,macd1520,macd1226,MFI,MOM10,MOM15,MOM20,ROC5,ROC10,ROC20,PPO,RSI14,RSI8,slowk,slowd,fastk,fastd,fastksr,fastdsr,ULTOSC,WILLR,ATR,Trange,TYPPRICE,HT_DCPERIOD,BETA
4/22/2015,427.99,439.9,419.2,431.01,172560,446.522,447.519,437.2153333,427.0495,440.7474837,440.3567003,436.596962,433.04697,470.1723646,446.522,422.8716354,421.035406,449.8477493,437.3855678,426.2073804,339.22,448.2844444,449.6823333,431.0323636,53.25931805,37.39490804,28.87009098,22.67846154,-105.1506052,-173.5410723,-31.01597117,0.390783414,7.700513661,7.309741194,3.548059653,9.553372085,45.21557298,-6.13,31.82,25.94,-3.951974865,-1.412051967,6.451933839,5.376953983,49.47407007,41.66607535,53.36775561,63.19857514,30.1846286,53.36775561,0,7.687662681,59.86162243,-59.10308842,17.21238686,20.7,429.03,23.08995108,0.030988785
4/23/2015,427.47,433.87,424.1,424.1,772240,440.316,445.374,439.0486667,428.458,436.3216558,438.0136638,435.4560917,432.51583,464.417597,440.316,416.214403,421.7119515,448.0973745,436.9585274,426.2172474,339.22,440.0088889,448.3156667,434.5590909,49.75908577,33.89695796,28.04868219,22.3174359,-71.46618425,-128.9727059,-48.03463299,-1.692008065,3.805825772,5.497842794,2.938570946,7.933023308,34.24349934,-21.45,27.5,28.17,-6.767720829,-4.778134189,7.05484598,5.283305881,49.1714193,41.25081908,36.50350651,51.85301603,29.06826964,36.50350651,0,-2.37E-15,59.78952932,-66.63002513,16.6807878,9.77,428.48,23.33712204,-0.389170472
4/24/2015,413.99,426,412,421.22,289690,432.524,441.726,439.258,429.317,428.8777705,433.645725,432.7728303,430.7514652,460.178623,432.524,404.869377,422.6580036,443.4337439,436.4800119,426.1381125,339.22,431.49,445.331,437.3030909,51.05806318,32.4000112,26.74923977,20.12147436,-110.419608,-145.9355212,-112.9616342,-4.767954444,-1.873694725,2.894267048,2.01988559,5.49778682,30.77482449,-36.48,3.14,17.18,-8.601390882,-8.098208538,4.329527986,4.75760676,41.9988778,31.84739516,21.15040349,37.00722187,4.198312236,21.15040349,0,-2.37E-15,55.25878941,-96.56303972,16.59430295,15.47,417.33,23.53903454,-0.999623481
4/27/2015,399.52,421.4,397.5,421.4,417010,421.262,436.457,438.292,429.552,419.091847,427.4410477,428.6162265,427.77704,447.6120115,421.262,394.9119885,423.17544,434.965055,436.2165125,425.7977474,339.22,422.5811111,440.3866667,439.0802727,54.92643772,32.54346514,25.84113077,16.15365385,-123.7164497,-153.268494,-165.6688804,-8.349200685,-8.68519297,-0.335986289,0.837891997,2.37288317,26.91895133,-52.69,-14.49,4.7,-12.3532896,-11.65166626,1.190415886,3.820783124,35.93869231,24.88746744,12.25987512,23.30459504,3.513043478,12.25987512,0,-2.37E-15,45.80954874,-97.20994475,17.11613846,23.9,406.14,23.47198871,-2.346565711
4/28/2015,400.78,419.9,391.35,391.35,208460,413.95,431.997,436.738,429.808,412.987898,422.5935845,425.1366982,425.2058933,438.6333936,413.95,389.2666064,423.7476431,429.3869208,435.9535011,425.490207,339.22,413.8577778,434.103,439.9302727,58.88752807,33.20019632,25.18183097,12.16782051,-90.77692974,-123.5355503,-154.6323893,-9.605686471,-12.21799531,-2.612303932,-0.070327836,-0.001931749,23.44436716,-44.6,-23.31,5.12,-8.359628664,-10.0139207,1.294040338,2.87907951,36.79394337,26.48626423,9.044876896,14.1517185,19.42327497,9.044876896,6.318634634,2.106211545,43.16976811,-87.9949077,17.93284285,28.55,404.01,23.34140948,-1.026501737
4/29/2015,398.95,407.7,395.51,407.7,634980,408.142,427.332,434.3933333,429.947,408.3085987,418.2947509,421.8633609,422.705332,430.4274478,408.142,385.8565522,424.0630417,424.2086398,435.7388932,425.189637,339.22,406.0577778,427.1193333,439.9041818,62.05640035,33.79125438,24.55549616,7.906410256,-76.46872389,-108.6496878,-138.8435719,-9.986152265,-14.39673338,-4.410577098,-0.842962252,-2.00850262,18.49017104,-46.65,-35.17,2.78,-6.785205262,-10.46903052,0.701718959,1.871552673,36.0413437,25.58241721,13.60342004,11.63605735,17.87394167,13.60342004,0.775738752,2.364791128,39.31476336,-90.32463399,17.52263979,12.19,400.72,23.50936351,-1.041896723
4/30/2015,404.43,420,395.1,398.41,490360,403.534,421.925,431.4273333,430.17,407.0157324,415.7738871,419.6841908,420.9648242,414.6637986,403.534,392.4042014,423.87581,419.0917371,435.5233424,425.060643,339.22,401.9666667,419.9546667,438.9371818,53.62465007,32.0347565,23.45484251,4.402371795,-6.931074317,-68.42505156,-96.47005972,-8.758154683,-13.94909179,-5.19093382,-1.281500663,-3.120562389,17.04853605,-54.07,-44.49,4.46,-5.389851919,-11.79280262,1.115083631,1.041874315,39.99919027,33.36458749,25.01537813,15.88789169,37.74891775,25.01537813,67.00286596,24.69907978,35.89170532,-81.08733372,18.04959409,24.9,406.51,24.40895463,0.087140854
5/4/2015,419.27,425,391.96,405.49,325870,404.59,418.557,429.3473333,430.591,411.1004883,416.409544,419.6324169,420.8034124,419.7572964,404.59,389.4227036,424.0720583,419.1088728,435.3658437,424.9792331,339.22,402.8955556,414.0003333,437.1319091,43.58133778,29.65004766,22.34463329,1.440128205,146.1700854,-34.84417252,-66.16289772,-5.309055717,-9.702924104,-4.3938657,-1.171754277,-2.77245466,22.64611748,-33.68,-31.2,8.42,1.275393125,-7.435699305,2.04940976,0.34020528,49.17196933,49.6576846,46.19820921,28.27233579,82.9717682,46.19820921,100,55.92620157,43.46317416,-59.62984384,19.12033737,33.04,412.0766667,25.72614994,-0.006295496
5/5/2015,429.02,439.5,425,426,320210,410.49,415.876,427.8013333,431.3415,417.0736589,418.7023542,420.8058648,421.5859446,433.8930528,410.49,387.0869472,424.7286267,419.7035583,435.2707171,425.0621156,339.22,408.8366667,410.328,434.7001818,41.0639597,27.83794066,21.79089564,-2.255384615,157.510125,83.84830625,13.33017217,-1.628695329,-4.512285689,-2.883588162,-0.780743695,-1.690347981,28.26585999,-26.81,-23.19,15.01,7.383860633,-5.881578659,3.625516292,-0.531240742,54.13328496,57.4666091,66.31845641,45.84401458,78.23468328,66.31845641,100,89.00095532,44.45269495,-45.53209948,19.19959899,20.23,431.1733333,26.31345837,0.698895622
5/6/2015,428.54,437.03,411.95,432.49,162130,416.042,414.996,426.6786667,431.564,420.8957726,420.4910171,421.7726317,422.2482355,440.7324594,416.042,391.3515406,425.76544,419.8734737,435.2245579,425.1363496,339.22,416.9111111,409.458,431.8082727,33.78735006,25.62048509,20.77697074,-5.586474359,66.55255739,63.21169309,-3.221607805,0.404755509,-1.352462972,-1.757216682,-0.476184797,-0.861570976,29.48759633,-8.8,-16.84,4.45,6.926493338,-2.012164449,1.049305572,-1.311849167,53.85458458,56.96941228,79.38406047,63.96690869,76.94572991,79.38406047,98.45953303,99.48651101,48.41476006,-46.22614228,19.61962763,25.08,425.84,26.21843587,0.78455593
5/7/2015,418.06,435.9,409.01,435.9,121770,419.864,414.003,424.8426667,430.761,419.9505151,420.049014,421.3085528,421.849356,437.7731244,419.864,401.9548756,426.87368,419.8343461,434.9329267,425.0438109,339.22,422.7966667,410.4436667,428.7056364,29.32399994,23.97526821,19.76590306,-9.595512821,13.89904901,40.01130462,-18.80312003,-0.098498914,-1.898840922,-1.800340537,-0.541311565,-1.038437187,27.42205962,-9.93,-27.54,-16.06,4.790073944,-2.320147667,-3.699437943,-2.248726012,48.03925696,46.85423272,70.02718303,71.90989997,54.90113589,70.02718303,56.88419998,85.11457767,48.95579771,-61.37941006,20.13893994,26.89,420.99,25.68992078,1.828587565
5/8/2015,434.45,435,414.52,414.52,202260,425.868,414.701,423.2393333,430.0375,424.7836767,422.6673751,422.9512337,423.0494173,438.3651638,425.868,413.3708362,428.39554,420.0177807,434.9255974,425.305295,339.22,425.9444444,413.398,425.7221818,25.75331985,22.49457302,18.80538877,-11.30865385,51.50174183,90.28409091,23.77243544,2.116301638,1.734259392,-0.382041043,-0.098628452,0.14229085,27.47905328,6.98,-24.05,-14.47,7.422792572,1.632863125,-3.223291455,-2.641090983,56.03503286,59.65713011,73.74141074,74.38421808,89.37736643,73.74141074,100,85.11457767,55.12156828,-36.66421749,20.16330138,20.48,427.99,24.87542148,2.354752944
5/11/2015,434.71,445,430.06,433.19,150110,428.956,416.773,422.0233333,429.2495,428.0924511,424.8569432,424.4210795,424.159949,441.0288628,428.956,416.8831372,429.691685,420.797296,434.9220105,425.5963752,339.22,427.0988889,417.635,423.1220909,24.43070226,20.80161381,18.19583913,-12.08480769,125.4012633,114.2436207,80.22554432,3.235507901,3.93250214,0.696995224,0.260741256,1.086481866,26.82451331,20.72,-18.24,-15.76,3.68259117,5.00495181,-3.498568162,-2.813578749,56.15030674,59.83255859,71.89574232,71.88811203,71.40872465,71.89574232,100,85.62806666,54.34514466,-31.87745483,19.79020842,14.94,436.59,24.00350113,2.305386543
5/12/2015,434.15,439,427.01,436.49,116890,429.982,420.236,420.578,428.3465,430.1116341,426.5465899,425.6371945,425.1113824,442.753928,429.982,417.210072,430.5873389,422.9822911,434.9070964,425.8764269,339.22,430.1755556,421.867,421.1684545,21.11436446,18.81625212,17.4974655,-12.42429487,61.19496508,79.54182772,77.57002296,3.565044171,5.000251666,1.435208301,0.525471545,1.769178738,34.11276711,34.63,-21.68,-18.06,1.19574845,8.667901482,-3.993719732,-2.886595328,55.81088286,59.19890254,76.87960932,74.17225413,69.85273687,76.87960932,95.81529032,98.60509677,56.17140509,-20.22367195,19.23305068,11.99,433.3866667,23.31559291,1.490097412
5/13/2015,432.71,441,431.1,435.6,175500,430.816,423.429,420.2693333,427.713,430.9777561,427.6672099,426.5212952,425.8350603,443.6468229,430.816,417.9851771,430.7825163,424.3655704,434.8761052,426.0830157,339.22,432.4555556,425.2546667,419.9840909,19.78979479,17.33531721,16.90685824,-11.58352564,55.09912011,76.69202614,87.76741788,3.310546127,5.142695772,1.832150305,0.685936935,2.169021828,38.23901096,31.93,-4.63,-12.67,0.973071359,7.966964419,-2.844761776,-2.686765779,54.89200349,57.41206291,69.03769566,72.6043491,65.85162545,69.03769566,84.48655497,93.43394843,50.87568264,-22.90773532,18.5664042,9.9,434.9366667,22.86155353,1.248939445
5/14/2015,438.47,442,433.58,437.45,277190,434.898,427.381,420.968,427.3565,433.4751707,429.6313536,428.0148833,427.0383879,438.7286219,434.898,431.0673781,430.1049076,426.9512332,434.9077855,426.5126411,339.22,434.4677778,428.3973333,419.5644545,19.46738634,16.16438911,16.38323905,-8.890769231,91.36708941,90.29725932,98.21343041,3.843817125,6.436782827,2.592966242,0.97623469,2.917058189,50.66727812,39.52,10.48,-7.13,4.882074343,9.906003259,-1.600089767,-2.059546518,57.87930982,62.57592811,71.42682594,72.44804364,78.57611549,71.42682594,100,93.43394843,52.02196099,-12.17148183,17.9038039,9.29,438.0166667,22.41565573,1.168191727
5/15/2015,448.39,449.9,439.21,439.46,178080,437.686,431.777,422.3626667,426.851,438.4467805,433.0420166,430.5617729,429.0718747,449.0459549,437.686,426.3260451,429.5894012,431.1645749,435.0622335,427.3867449,339.22,436.2744444,431.3676667,419.9685455,24.09578191,16.32762543,16.17567012,-5.472115385,161.3938377,140.917124,125.8799358,5.404763904,9.374905723,3.97014226,1.489670001,4.261222766,57.02341216,43.96,20.92,-10.11,3.208654621,10.86961897,-2.205016358,-1.266005819,62.48698697,69.78651013,79.27699126,73.24717095,93.40323285,79.27699126,100,94.82885166,53.50460928,-2.578992314,17.44138934,11.43,445.8333333,21.81719061,1.027898641
5/18/2015,446.06,454.9,444.01,450,152920,439.956,434.456,424.5006667,426.5065,440.9845203,435.4089226,432.4990513,430.6897914,452.5039407,439.956,427.4080593,428.7033964,432.9447216,435.1597345,427.9076735,339.22,439.7577778,433.7156667,421.1077273,29.99183687,17.15805867,16.15244997,-1.436282051,98.19935998,145.2667219,119.1439187,5.575597669,10.29472888,4.719131568,1.809060216,5.079913271,65.54478483,26.79,32.07,-6.89,2.610936026,6.389677296,-1.521139199,-0.332376819,60.80450186,66.35467057,80.09446666,76.93276129,68.30405163,80.09446666,77.8474158,92.61580527,55.23174686,-13.91030685,16.97343295,10.89,448.3233333,21.12215763,0.657526022
